PRODUCT_ID,TIME_ID,STORE_ID,EMPLOYEE_ID,SALES_TYPE_ID,PRICE,QUANTITY
46,14,2,4,1,4.54,5.00
976,1081,109,271,17,97.56,98.00
465,553,56,139,9,46.42,47.00
109,1393,140,349,21,10.89,11.00
998,460,46,115,7,99.80,100.00
271,828,83,207,13,27.06,28.00
745,308,31,77,5,74.42,75.00
801,1163,117,291,18,80.04,81.00
582,1708,171,427,26,58.19,59.00
109,755,76,189,12,10.86,11.00
216,517,52,130,8,21.57,22.00
396,189,19,48,3,39.58,40.00
239,597,60,150,9,23.82,24.00
33,65,7,17,1,3.24,4.00
407,168,17,42,3,40.67,41.00
684,26,3,7,1,68.39,69.00
479,1719,172,430,26,47.88,48.00
903,1090,109,273,17,90.28,91.00
540,1696,170,424,26,53.98,54.00
307,1478,148,370,23,30.66,31.00
241,1572,158,393,24,24.07,25.00
387,897,90,225,14,38.70,39.00
290,1231,124,308,19,28.94,29.00
374,316,32,79,5,37.40,38.00
602,1313,132,329,20,60.15,61.00
43,701,71,176,11,4.30,5.00
299,35,4,9,1,29.87,30.00
641,251,26,63,4,64.03,65.00
916,642,65,161,10,91.59,92.00
981,724,73,181,11,98.07,99.00
164,1054,106,264,16,16.31,17.00
635,1436,144,359,22,63.47,64.00
602,1040,104,260,16,60.15,61.00
685,1131,114,283,17,68.46,69.00
641,739,74,185,12,64.02,65.00
836,1352,136,338,21,83.52,84.00
398,1508,151,377,23,39.79,40.00
599,967,97,242,15,59.84,60.00
107,210,21,53,4,10.68,11.00
272,1055,106,264,16,27.16,28.00
981,983,99,246,15,98.09,99.00
730,1458,146,365,22,72.97,73.00
400,1771,178,443,27,39.93,40.00
431,1810,181,453,28,43.06,44.00
215,556,56,139,9,21.48,22.00
599,411,42,103,7,59.87,60.00
909,1164,117,291,18,90.88,91.00
918,1877,188,470,29,91.76,92.00
29,1598,160,400,24,2.81,3.00
199,688,69,172,11,19.85,20.00
621,1043,105,261,16,62.02,63.00
936,1731,174,433,26,93.51,94.00
555,659,66,165,10,55.49,56.00
144,1980,198,495,30,14.39,15.00
642,1384,139,346,21,64.12,65.00
623,456,46,114,7,62.26,63.00
386,1000,100,250,15,38.58,39.00
623,835,84,209,13,62.27,63.00
592,1624,163,406,25,59.11,60.00
671,1439,144,360,22,67.05,68.00
940,595,60,149,9,93.91,94.00
284,1110,111,278,17,28.33,29.00
310,230,23,58,4,30.99,31.00
647,420,42,105,7,64.64,65.00
258,363,37,91,6,25.80,26.00
662,1491,150,373,23,66.17,67.00
318,1019,102,255,16,31.80,32.00
402,150,15,38,3,40.16,41.00
